conv_id,golden_split,stratum,n_prior_turns,context,customer_text
2942695,dev,intent_balanced,0,,I’m listening to Spotify and this is what’s on my phone. Idk if it’s your end or Apple’s but i just wanted you to be aware. Thanks! <url>
552673,dev,random,0,,"@user @user having some issues with the Spotify auth API, getting status code 500s when making login requests, we're a team of three, an hour away from demoing our location-based music app, please help! We might actually have a chance to win prizes! ❤️😭#pleasehelp"
490759,dev,random,2,"Customer: What will happen to my remaining subscription time if I buy the £99 deal for a year?
SpotifyCares: Hi there, thanks for reaching out! Once you subscribe to Spotify Yearly, the remaining Premium time on your current subscription will be applied after the 12-month period. Hope this helps. Let us know if you have other questions",@user This is so ridiculous ANSWER MY TWEETS
1698050,dev,intent_balanced,0,,I can't get into my account. It says that I connect through FaceBook but when I try to connect it won't login.
466824,dev,intent_balanced,0,,@user can you put Miss You already thank you I'm dying
450893,dev,random,0,,Add “Pirates” to the This is: @user playlist RIGHT NOW!!!!
694626,dev,intent_balanced,0,,"I have been paying $10.00 for a premium membership since July, and since then, I can't log in to my account. You don't have a phone number or email to reach. I will be contacting my bank to terminate payment if I don't get a response. Please get back to me ASAP!"
699533,dev,intent_balanced,0,,how the fuck is possible that i see track lists adoring Charles Manson? i cannot even disable them. This is super disgusting
534619,dev,random,4,"Customer: <url>
Customer: But unfortunately it doesn't work for me. It says ""Sorry, couldn't find that"". Maybe it's not available worldwide. please could you fix it? I wanna listen to this interview
SpotifyCares: Hey there! There might be some restrictions based on your current location, but not your Spotify account’s country. No worries, your feedback matters, and we'll have this passed on to the right folks. Let us know if you have more questions 🙂
Customer: why it's not available worldwide ... @user is a global superstar lol #sad",@user @user I don't know what's wrong with it. I can't listen to it and I see some people can't do it too.
620378,dev,intent_balanced,4,"Customer: How to request a song / album (origional album or artist) to upload in your library which is still not there . Please let me know via direct message or send me link. Waiting reply.
SpotifyCares: Hi Adeel. Can you tell us more about the song or album you're referring to? We'll take a look backstage
Customer: Following all song of: Singer. Kumar Sanu Movie. Aashiqui Song. Dheere dheere se meri (all songs) &amp; Movie. Sapne Sajan Ke Song. Yeh dua hai meri &amp; Movie. Gunda Mawali Song. Raju Awara Above mentioned songs are very famous. Plz upload and let me know. Regards
SpotifyCares: Thanks for sending those over. We’d love to have all of Kumar Sanu's stuff available, but we have some info about content here: <url>","Said songs /albums are all free and easily available on every famous streaming service like Saavn, YouTube etc. Also on some mp3 songs websites"
468349,dev,hard,1,Customer: Premium gives you unlimited skips. Get 3 months now for just $0.99. <url>,@user But yet Spotify can’t email me back when my account gets hacked🤔
669353,dev,random,0,,"@user I reset my iPhone with iOS 11.1.2 and when I downloaded fresh Spotify app tried to log in, nothing happened when I hit the ‘log in’ or ‘create account’ button. Before it worked just fine. I have premium account and paying for it. Please provide solution."
141134,dev,intent_balanced,3,"Customer: Unli skips. Unli fun. 3 months of Premium for ₱9. <url>
Customer: i was charged 129 😤😤😤
SpotifyCares: Hey there! Can you DM us your account's username or email address? We'll take a look backstage",@user Its so unfair!! The promo is for VISA cardholders only. 😑 How about us? Stop broadcasting incomplete details!
565386,dev,hard,1,Customer: won't let me renew my Premium account! Sos,"Just for reference, I have tried both a Prepaid Visa AND a Mastercard, and yes I tried to cancel my Premium and re-join, but nothing works"
507415,dev,intent_balanced,0,,"yo, DM'd you some details but I need help getting my account back."
2963327,dev,hard,2,"Customer: Hi do you have any idea why my downloaded songs frequently skip when I play them from my phone? Literally sounds like a scratched CD. Kind of defeats the purpose, don't you think? Thanks for taking the time.
SpotifyCares: Hey there! That's not cool. Does logging out, restarting your device, and logging back into Spotify help? Keep us posted","Appreciate the quick response, Team! I'll give those steps a try and report back."
133935,dev,intent_balanced,0,,@user loving the Time Capsule playlist! Thanks! Assuming it’s a new feature #80sbaby
568966,dev,hard,3,"Customer: Hi - can't use Spotify Connect. Speaker shows in device list - selecting it does nothing. Previously working. Still works on iPhone 7. My devices: OnePlus 3T (Android 8) Sonos Play:1
SpotifyCares: Hey there! Can you let us know the exact Spotify version running on your device? We'll see what we can suggest
Customer: It's 8.4.30.688 armV7. Thanks.","Same version, different Android phone (Moto G5), same problem."
468342,dev,random,1,Customer: Premium gives you unlimited skips. Get 3 months now for just $0.99. <url>,@user ya'll should do a promo for people who have been paying for premium for years. where is my discount tho ?
2848290,dev,random,0,,why don’t you have lyrics to song OR the ability to send to their users’ inboxes anymore? @user has lyrics to every song pretty easily...
150671,dev,intent_balanced,0,,Hi! Sent you a DM.
1778457,dev,hard,0,,"Hello, I saw an ad saying 99 cents for 3 months. I clicked on it and it took me to page where I logged in ( new user, never been activated for premium ). I was charged 9.99 on my credit card. __email__ is the email"
1272289,dev,intent_balanced,0,,I’m having trouble with my family plan I’ve tried to add my girlfriend but it keeps asking her to re-enter our address.
102225,dev,intent_balanced,0,,how long would it take for a pending charge to be cleared? Made a mistake on a subscription and my card was charged.
639943,dev,random,1,Customer: listen. STOP REACTIVATING MY FACEBOOK ACCOUNT. DELETE MY OAUTH INFO,Everytime i contact support they screw this up and youre losing a customer for life at this point. I want my Facebook info gone. Completely fucking gone. I never ever ever want to receive a welcome back to Facebook email ever again after signing in to Spotify.
